x_over_lstar,density_mean_2pi_rho_lstar2,density_stderr
7.6,0.22595172,0.0024573199
7.65,0.23681744,0.0028872963
7.7,0.24295821,0.0022229147
7.75,0.2523411,0.0022250536
7.8,0.25537378,0.0020786633
7.85,0.26202558,0.0025020029
7.9,0.26561119,0.0025295705
7.95,0.26863549,0.0024071475
8,0.27263998,0.0026255348
8.05,0.27174358,0.0023082317
8.1,0.26627302,0.0022562693
8.15,0.26401107,0.0026819511
8.2,0.26486558,0.0030807472
8.25,0.26166535,0.0026557507
8.3,0.25090016,0.0027256583
8.35,0.2418021,0.0026107594
8.4,0.23623939,0.002851134
8.45,0.22182157,0.0016215597
8.5,0.21471739,0.0019734558
8.55,0.20187456,0.0021276716
8.6,0.18825261,0.0018564236
8.65,0.1731227,0.0017449566
8.7,0.16032176,0.0018597732
8.75,0.14814075,0.001895864
8.8,0.13892542,0.0017573775
8.85,0.12228754,0.0020205196
8.9,0.11096943,0.001306064
8.95,0.09428129,0.0013299975
9,0.083809314,0.00097825387
9.05,0.073605421,0.0013005316
9.1,0.062153269,0.00092330573
9.15,0.051061353,0.00077960438
9.2,0.043119406,0.00055569305
9.25,0.035102062,0.00077489354
9.3,0.028617815,0.0006330355
9.35,0.02132932,0.00059271677
9.4,0.016855692,0.00047923788
9.45,0.013161179,0.00045256585
9.5,0.0090896747,0.00030098546
9.55,0.0064172266,0.00029788772
9.6,0.0043312091,0.00021428548
9.65,0.0026808257,0.00017347363
9.7,0.0019603538,0.000143141
9.75,0.0011728613,8.7812551e-05
9.8,0.00069533917,8.1005544e-05
9.85,0.00030997048,5.4375866e-05
9.9,0.00022619467,4.3071534e-05
9.95,0.00011728613,3.6219869e-05
10,0.00011728613,2.6664927e-05
10.05,0.00013404129,3.180328e-05
10.1,0.00019268435,4.5337004e-05
10.15,0.00027646015,5.1051276e-05
10.2,0.00039374628,7.5237008e-05
10.25,0.00069533917,6.4486091e-05
10.3,0.0011393509,8.1973313e-05
10.35,0.0018179349,0.00011476657
10.4,0.0028902652,0.00015683663
10.45,0.0047165778,0.00026731038
10.5,0.0073722708,0.0002643863
10.55,0.0096258399,0.00043300235
10.6,0.013479527,0.00037103865
10.65,0.015992801,0.00041426839
10.7,0.02236814,0.00054660582
10.75,0.028902652,0.0006913643
10.8,0.035830911,0.00079700206
10.85,0.042457578,0.00066194226
10.9,0.052443653,0.00090880852
10.95,0.063401529,0.00093621331
11,0.072549846,0.0009761479
11.05,0.083273149,0.0013508751
11.1,0.095202824,0.0014016325
11.15,0.10930229,0.0012298654
11.2,0.1223043,0.0018958957
11.25,0.13235739,0.0016345639
11.3,0.14874394,0.0022578117
11.35,0.15968506,0.0018712931
11.4,0.17295515,0.0022485782
11.45,0.19173768,0.0019879418
11.5,0.20092789,0.0024808416
11.55,0.2134775,0.0019382907
11.6,0.22105084,0.0024263536
11.65,0.23346641,0.0024714446
11.7,0.23608022,0.0019593234
11.75,0.25512246,0.0027521538
11.8,0.25902641,0.0031714868
11.85,0.26232718,0.0021930666
11.9,0.26640706,0.0027362974
11.95,0.27131632,0.0031717058
12,0.26899573,0.0022548846
12.05,0.26918004,0.0029646012
12.1,0.26320682,0.0027833497
12.15,0.26651597,0.0030946355
12.2,0.25979715,0.0027607043
12.25,0.25965473,0.002251871
12.3,0.24793449,0.0027286767
12.35,0.24255609,0.002456521
12.4,0.23640694,0.0030305737
12.45,0.22730889,0.0022145714
12.5,0.2184119,0.0024632423
12.55,0.21380423,0.0016998267
12.6,0.20189131,0.0019600446
12.65,0.18981084,0.0020545799
12.7,0.17832518,0.002485983
12.75,0.1655745,0.002041514
12.8,0.1585122,0.0020748224
12.85,0.14665792,0.0019854233
12.9,0.13429261,0.0017280993
12.95,0.12892258,0.0018704099
13,0.11414453,0.0016158286
13.05,0.10990548,0.0014394757
13.1,0.09850359,0.0018621779
13.15,0.087905951,0.001401862
13.2,0.079612147,0.0015205472
13.25,0.075440112,0.0015627573
13.3,0.066015334,0.0010702526
13.35,0.06014265,0.0012638276
13.4,0.053071972,0.0012384908
13.45,0.047970025,0.0010636637
13.5,0.041837637,0.00093314368
13.55,0.036274923,0.0009661713
13.6,0.033493566,0.0009719532
13.65,0.030477638,0.00086785294
13.7,0.026774747,0.00078379837
13.75,0.022041414,0.000702053
13.8,0.020206724,0.00066190444
13.85,0.017383479,0.00061490165
13.9,0.014711031,0.0006082268
13.95,0.012792565,0.0006063242
14,0.011209203,0.00053319526
14.05,0.0095169313,0.00052426487
14.1,0.0078414153,0.00042108664
14.15,0.0071041882,0.00042028918
14.2,0.0058726839,0.0003508544
14.25,0.0052192326,0.00037188786
14.3,0.0046579347,0.0003755156
14.35,0.0040212386,0.0002773268
14.4,0.0034850735,0.00037027877
14.45,0.0030913272,0.00030619729
14.5,0.001977109,0.00022086164
14.55,0.0023541001,0.00023938374
14.6,0.0016084954,0.00020712664
14.65,0.0011644837,0.000166018
14.7,0.00093828901,0.00012374139
14.75,0.00076235982,0.00011593857
14.8,0.00078749256,0.00011348324
14.85,0.00069533917,0.00013519867
14.9,0.00049427724,0.00010788499
14.95,0.00027646015,5.922435e-05
15,0.00031834806,9.6453743e-05
